id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6151673,"LVPremier Clerigos RE2- space, lift, AC, balcony",181902,Jose Luz,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14607,-8.62058,Entire home/apt,421,1,138,2024-08-14,1.24,4,309,28,112665/AL
6151900,Feel Porto Downtown Poets Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1504,-8.6069,Entire home/apt,406,1,80,2024-06-25,0.71,102,279,10,18668/AL
6152236,Feel Porto Historic Cozy Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1433,-8.60986,Entire home/apt,143,1,39,2024-08-24,0.35,102,339,1,26403/AL
6152287,Feel Porto Historic Boutique Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14333,-8.60987,Entire home/apt,156,1,115,2024-06-07,1.02,102,328,5,26389/AL
6158660,Fantastic Apartment close to Center,31950563,Nelson,PORTO,Lordelo do Ouro e Massarelos,41.14646,-8.63102,Entire home/apt,,4,243,2024-08-21,2.13,1,7,15,7815/AL
6167473,Home sweet Home!,31995253,Denise,VILA NOVA DE GAIA,São Félix da Marinha,41.02578,-8.63036,Entire home/apt,69,3,145,2024-09-07,1.30,1,282,18,51262/AL
6184227,Cedofeita - BednBike,32076925,Franceline,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15731,-8.62223,Entire home/apt,,3,215,2021-10-16,2.13,1,0,0,82280/AL
6184486,Serena's House - 1st line of the beach,13748110,G. Carriços,VILA DO CONDE,Vila Chã,41.29253,-8.73369,Entire home/apt,110,2,101,2024-07-13,0.92,1,248,25,AL12370
6197372,Bedroom in the centre-Trindade,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.156089782714844,-8.609228134155273,Private room,49,4,87,2024-08-11,0.78,4,266,6,102656/AL
5219004,Domum  | Turistic Apart. T1 Duplex,23800078,Domum,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14923,-8.62008,Entire home/apt,105,2,4,2023-07-29,0.03,5,306,0,19702/AL
5237978,Feel Porto Photo Downtown Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15009,-8.60684,Entire home/apt,360,1,65,2024-08-23,0.57,102,156,8,26385/AL
5266672,Poveiros duplex apartment,18651903,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14742,-8.60265,Entire home/apt,,2,283,2020-03-15,2.43,3,0,0,66582/AL
